"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"262","""I want the world to know that #BlackLivesMatter, &amp; I want you to help raise that call."" http://t.co/0dTWuxe69d http://t.co/EHcKzG3Mw5",FALSE,507,NA,2014-12-14 02:57:59,FALSE,NA,"543963080393519104",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",783,FALSE,FALSE,NA,NA
"263","""They forced a shotgun in my mouth &amp; pulled the trigger over &amp; over"" Demand justice for #Chicago torture survivors. http://t.co/h5VIPd3xmc",FALSE,85,NA,2014-12-13 21:13:40,FALSE,NA,"543876431336726528",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",192,FALSE,FALSE,NA,NA
"264","1 in 3 #indigenous women will be raped. @Whitehouse ensure they have access to health services http://t.co/hXGFl0VTaw http://t.co/2EPXZRdjvZ",FALSE,107,NA,2014-12-13 15:03:16,FALSE,NA,"543783215799226368",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",232,FALSE,FALSE,NA,NA
"265","#Afghanistan: Recent wave of reprehensible attacks underscore urgent need to protect civilians http://t.co/ackRBjvncY http://t.co/Mrv5Xez8Gg",FALSE,38,NA,2014-12-12 22:16:29,FALSE,NA,"543529851148599296",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",105,FALSE,FALSE,NA,NA
"266","This was a systematic effort w/ permission slip from highest levels of US govt #TortureReport http://t.co/ksa3ETxFln http://t.co/1bM6qH7TjI",FALSE,70,NA,2014-12-12 20:10:01,FALSE,NA,"543498023352152065",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",222,FALSE,FALSE,NA,NA
"267","@RickieLeeJones Thanks so much for your support!",FALSE,0,"RickieLeeJones",2014-12-10 20:31:50,FALSE,"542769225375309824","542778740355641345","61252351","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","amnesty",0,FALSE,FALSE,NA,NA
"268","Happy #HumanRightsDay! Raise your voice today to ensure #HumanRights for all.  http://t.co/4ovzSOATEm http://t.co/3CGm6nSSC2",FALSE,286,NA,2014-12-10 20:00:57,FALSE,NA,"542770969371504641",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",705,FALSE,FALSE,NA,NA
"269","@TrillSailboat Thanks so much for your support!",FALSE,0,NA,2014-12-10 19:06:51,FALSE,NA,"542757354400657408",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","amnesty",0,FALSE,FALSE,NA,NA
"270","@AnneLevine Thanks for your support Anne!",FALSE,0,"AnneLevine",2014-12-10 19:06:36,FALSE,"542716105345601536","542757288113876992","16329520","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","amnesty",0,FALSE,FALSE,NA,NA
"271","@Uraliceldrhnk Thanks for your support, Liam!",FALSE,0,"Uraliceldrhnk",2014-12-10 19:06:13,FALSE,"542713873220923392","542757191720374272","179586643","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","amnesty",1,FALSE,FALSE,NA,NA
"272","@phidippides26 Thanks so much for your support John!",FALSE,1,"phidippides26",2014-12-10 19:05:55,FALSE,"542683807980085249","542757118844358656","49338156","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","amnesty",0,FALSE,FALSE,NA,NA
"273","@llovelymummy Thanks for your support Aileen!",FALSE,1,"llovelymummy",2014-12-10 19:05:34,FALSE,"542657555822960641","542757029224648704","269847237","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","amnesty",0,FALSE,FALSE,NA,NA
"274","@HobbesDeutschJr Thanks so much for your support, Hobbes!",FALSE,1,"HobbesDeutschJr",2014-12-10 19:05:07,FALSE,"542521863893549057","542756914845999104","339910261","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","amnesty",0,FALSE,FALSE,NA,NA
"275","On #HumanRightsDay, @ChrisetteM shares a powerful call to join her for this year's #Write4Rights. http://t.co/vKH94mwCmF",FALSE,33,NA,2014-12-10 17:06:40,FALSE,NA,"542727108452450304",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",64,FALSE,FALSE,NA,NA
"276","Your voice &amp; millions of others have made our #HumanRights movement strong. Happy #HumanRightsDay! http://t.co/u9LXJ2PSxL",FALSE,99,NA,2014-12-10 15:34:12,FALSE,NA,"542703838126669824",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",207,FALSE,FALSE,NA,NA
"277","10 years. 1,000 lashes. Just for a website in #SaudiArabia. Free Raif #Write4Rights http://t.co/mKkF8LlTqP http://t.co/baKdhZjxlH",FALSE,146,NA,2014-12-10 04:10:00,FALSE,NA,"542531653625577472",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",357,FALSE,FALSE,NA,NA
"278","Senate #TortureReport summary on CIA detention program must not be end of story. #StopTorture http://t.co/k1vcNCBxJk http://t.co/Pd7TIL6fez",FALSE,154,NA,2014-12-09 23:55:06,FALSE,NA,"542467504510341120",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",375,FALSE,FALSE,NA,NA
"279","Numbers fail to reflect disproportionate effect of gun violence on #women. #16days #ArmsTreaty http://t.co/mZpbAvMkNl http://t.co/AgGRFX0Sps",FALSE,25,NA,2014-12-09 21:38:03,FALSE,NA,"542433014706225152",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",51,FALSE,FALSE,NA,NA
"280","@Reanimateddoll Thanks so much for your support, Keisha!",FALSE,0,"Reanimateddoll",2014-12-09 18:44:52,FALSE,"542350564529430531","542389430799962114","1646380698","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","amnesty",0,FALSE,FALSE,NA,NA
"281","@burninoutloud Thanks for your support, Dave!",FALSE,0,"burninoutloud",2014-12-09 18:44:36,FALSE,"541270542670508032","542389365436321792","25449361","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","amnesty",0,FALSE,FALSE,NA,NA
"282","#Torture is a crime &amp; those responsible MUST be held accountable. #StopTorture http://t.co/zeqE0Hl4Be http://t.co/ZPHbHV1Mtp",FALSE,302,NA,2014-12-09 18:18:16,FALSE,NA,"542382740272721921",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",752,FALSE,FALSE,NA,NA
"283","#TortureReport: No circumstances whatsoever can justify the use of #torture. Demand US accountability! #StopTorture http://t.co/0skaRsNi5A",FALSE,171,NA,2014-12-09 16:54:54,FALSE,NA,"542361757017464832",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",494,FALSE,FALSE,NA,NA
"284","Release of #TortureReport underscores the need for accountability. US government MUST #StopTorture: http://t.co/2CJxit75Dv",FALSE,87,NA,2014-12-09 16:30:04,FALSE,NA,"542355509735870465",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",216,FALSE,FALSE,NA,NA
"285","Write a letter. Change a life. #Write4Rights with @amnesty. http://t.co/o78FP93skZ http://t.co/DCMHl7Z0ca",FALSE,104,NA,2014-12-09 13:12:02,FALSE,NA,"542305670964736002",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",169,FALSE,FALSE,NA,NA
"286","Is the US about to open floodgates of weapons to armed groups in #Iraq &amp; #Syria? http://t.co/RpXnxGxRmC @McConnellPress @SenatorReid #NDAA",FALSE,25,NA,2014-12-09 00:08:08,FALSE,NA,"542108399388069890",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",71,FALSE,FALSE,NA,NA
"287","US transfers 6 #Guantanamo detainees -held since 2002 &amp; never charged w/ crimes- to #Uruguay http://t.co/mbdTjXzZm1 http://t.co/8Pb7hmwxOZ",FALSE,67,NA,2014-12-08 18:35:49,FALSE,NA,"542024765532565504",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",160,FALSE,FALSE,NA,NA
"288","Stop shaming survivors of gender-based violence. #16days http://t.co/VjY2rPLSRo http://t.co/L0DvBYHLzk",FALSE,418,NA,2014-12-08 16:03:59,FALSE,NA,"541986557494714369",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",568,FALSE,FALSE,NA,NA
"289","Demand justice for the 43 missing students in #Mexico. http://t.co/jgxkfBI4bW #AyotzinapaSomosTodos http://t.co/U5yHBddW1T",FALSE,300,NA,2014-12-07 23:42:51,FALSE,NA,"541739645118476288",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",674,FALSE,FALSE,NA,NA
"290","#Chicago police tortured over 100 people, all men of color, over 2 decades. Demand justice: http://t.co/h5VIPd3xmc http://t.co/hby0WP9b1I",FALSE,558,NA,2014-12-07 04:51:12,FALSE,NA,"541454858889723905",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",1461,FALSE,FALSE,NA,NA
"291","#US government must release Senate #TortureReport without delay.   @JohnKerry @State_DRL http://t.co/bEX5c8TmEs http://t.co/u5YFexsNlK",FALSE,101,NA,2014-12-06 18:58:24,FALSE,NA,"541305675742466048",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",217,FALSE,FALSE,NA,NA
"292","#Indonesia must immediately stop imminent execution of five people. http://t.co/Q8LSGXczwZ #deathpenalty http://t.co/ozQMb8jhQJ",FALSE,94,NA,2014-12-06 15:26:33,FALSE,NA,"541252361701064706",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amnesty",185,FALSE,FALSE,NA,NA
